BiomarkersTherapeuticTerm	Function	AssociatedCompoundsCCLE	AssociatedCompoundsCTDD	AssociatedCompoundsSanger	AssociatedColour
VEGFR inhibitors	VEGFR inhibitor	Sorafenib	tivozanib;sorafenib	Sorafenib;AMG.706;Axitinib;Pazopanib	#BB64A0
sunitinib	RTK inhibitor	NA	NA	Sunitinib	NA
regorafenib	RTK inhibitor	NA	NA	NA	NA
gemcitabine	Nucleoside analogue	NA	gemcitabine	Gemcitabine	NA
liposomal doxorubicin	Anthracycline antibiotic	NA	NA	NA	NA
MDM2 inhibitors	MDM2 inhibitor	Nutlin.3	HLI.373;nutlin.3;RITA;serdemetan;SJ.172550	JNJ.26854165;Nutlin.3a	#914638
MDM2/MDMX inhibitors	MDM2/MDMX inhibitor	Nutlin.3	HLI.373;nutlin.3;RITA;serdemetan;SJ.172550	JNJ.26854165;Nutlin.3a	#914638	
rapamycin	mTOR inhibitor	NA	sirolimus	Rapamycin	#B2F0ED
PIM inhibitors	PIM inhibitor	NA	NA	SL 0101.1	NA
CDK7 inhibitors	CDK7 inhibitor	NA	NA	NA	NA
bevacizumab	VEGF-A antibody	NA	NA	NA	NA
Gamma secretase inhibitors	Gamma secretase inhibitor	L.685458	BMS.299897;L.685458	BMS.708163;Z.LLNIe.CHO	#BE378F
ERK inhibitors	ERK inhibitor	NA	Compound.11e;pluripotin	NA	XMD8.85	NA
pan-TRK inhibitor	pan-TRK inhibitor	Nilotinib;Sorafenib	sorefenib;nilotinib	Nilotinib;Sorafenib	NA
midostaurin	Multi-target protein kinase inhibitor	NA	NA	Midostaurin	#FA6BEF
Mytomycin C	Alkylating agent	NA	NA	Mitomycin C	NA
PDGFR inhibitors	PDGFR inhibitor	Sorafenib	sorafenib	Pazopanib;Sorafenib;Sunitinib;Imitinib;Dasatinib;Axitinib;AMG.706	NA
crenolanib	RTK inhibitor	NA	NA	NA	NA
aspirin in adjuvant setting	aspirin in adjuvant setting	NA	NA	NA	NA
ATRA	Retinoids	NA	ATRA	ATRA	NA
arsenic trioxide	Toxin	NA	NA	NA	NA
vismodegib	SMO inhibitor	NA	vismodegib	NA	NA
sirolimus	mTOR inhibitor	NA	sirolimus	Rapamycin	#B2F0ED
irinotecan plus CHK1/2 inhibitor in ATM deficient tumor	TOP inhibitor	Irinotecan;Topotecan	SN.38;topotecan	NA	#C0C757
spliceosome inhibitor	spliceosome inhibitor	NA	NA	NA	NA
SYK inhibitors	SYK inhibitor	NA	tamatinib	BAY 61.3606	#765729
anthracyclines	anthracycline	NA	idarubicin	NA	NA
carboplatin	Intercalating agent	NA	NA	NA	NA
pramlintide	Peptide hormone	NA	NA	NA	NA
BCR-ABL1 inhibitors	BCR-ABL1 inhibitor	NA	NA	GNF.2	NA
novel estrogen receptor degrader	novel estrogen receptor degrader	NA	NA	NA	NA
FLT3 inhibitors	FLT3 inhibitor	Sorafenib	sorafenib	Sorafenib;Sunitinib;VX.680;CEP.701	NA
PKC412	Multi-target protein kinase inhibitor	NA	NA	Midostaurin	#FA6BEF
BH3 mimetics	BH3 mimetic	NA	ABT.737	NA	NA
foretinib	c-Met and VEGFR-2 inhibitor	NA	NA	NA	NA
docetaxel	Microtubule dysregulation	NA	NA	Docetaxel	NA
axitinib	TKI	NA	NA	Axitinib	#B3F7C0
DOT1L inhibitors	DOT1L inhibitor	NA	NA	NA	NA
phenformin	Anit-growth	NA	NA	NA	NA
azacytidine	Nucleoside analogue	NA	NA	NA	NA
proteosome inhibitors	proteosome inhibitor	NA	BMS.299897;NA	Bortezomib;MG.132	#BE378F
lestaurtinib	TKI	NA	NA	NA	#B3F7C0
BCL-XL inhibitors	BCL-XL inhibitor	NA	ABT.737;navitoclax;TW.37	Obatoclax Mesylate;TW 37;ABT.263	NA
MET inhibitors	MET inhibitor	PHA.665752;PF2341066;crizotinib	PF.04217903;crizotinib	PF.02341066;PHA.665752	#D24A33
